60824972,The Thief,Megan Whalen Turner,1996
312932804,Welcome to Temptation,Jennifer Crusie,1996
1857989341,The Gods Themselves,Isaac Asimov,1972
425234339,Bullet,Laurell K. Hamilton,2010
765326264,A Dog's Purpose ,W. Bruce Cameron,2010
446580309,The Devil You Know,Mike Carey,2006
812966929,number9dream,David Mitchell,2001
62049879,A Week to Be Wicked,Tessa Dare,2012
7198914,A Place Called Here,Cecelia Ahern,2006
393307050,Master and Commander,Patrick O'Brian,1969
802136834,The Six Wives of Henry VIII,Alison Weir,1980
553590162,Industrial Magic,Kelley Armstrong,2004
439441722,The Will of the Empress,Tamora Pierce,2005
446611212,Violets Are Blue,James Patterson,2001
61092193,Men at Arms,Terry Pratchett,1993
034541005X,The Power of One,Bryce Courtenay,1989
670022411,A Discovery of Witches,Deborah Harkness,2011
1451683405,Free Will,Sam Harris,2012
440242916,Faithless,Karin Slaughter,2005
60586133,Three Wishes,Liane Moriarty,2003
61006629,Fatherland,Robert   Harris,1992
345519515,Never Love a Highlander,Maya Banks,2011
316197084,Altered,Jennifer Rush,2013
385341954,Fractured,Karin Slaughter,2008
345485793,The Charlemagne Pursuit,Steve Berry,2008
671888587,I'll Be Seeing You,Mary Higgins Clark,1993
006170654X,Wench,Dolen Perkins-Valdez,2009
553560735,Red Mars,Kim Stanley Robinson,1993
316234478,The 100,Kass Morgan,2013
1423140605,The Mark of Athena,Rick Riordan,2012
224085611,Her Fearful Symmetry,Audrey Niffenegger,2009
765335344,Vicious,"V.E. Schwab, Victoria Schwab",2013
1423108760,Bad Girls Don't Die,Katie Alender,2009
553293427,Pebble in the Sky,Isaac Asimov,1950
739437585,Safe Harbour,Danielle Steel,2003
068482535X,Lincoln,David Herbert Donald,1995
141382899,The Titan's Curse,Rick Riordan,2007
802151825,Tropic of Capricorn,Henry Miller,1938
452287065,The Bluest Eye,Toni Morrison,1970
034552795X,Wife 22,Melanie Gideon,2008
069401298X,Frog and Toad Together,Arnold Lobel,1971
60852577,The Lacuna,Barbara Kingsolver,2009
385334230,Slapstick,Kurt Vonnegut Jr.,1976
312349513,Fearless Fourteen,Janet Evanovich,2008
1561797464,A Christmas Carol,Charles Dickens,1843
767915593,Straight Talking,Jane Green,1997
1400078776,Never Let Me Go,Kazuo Ishiguro,2005
6161413,Ice Station Zebra,Alistair MacLean,1963
385491069,The Edible Woman,Margaret Atwood,1969
451208188,The English Assassin,Daniel Silva,2002
312942303,Born of the Night,Sherrilyn Kenyon,1996
385366434,Two Ravens and One Crow,Kevin Hearne,2012
345438310,Nicholas and Alexandra,Robert K. Massie,1967
60652381,A Grief Observed,C.S. Lewis,1961
140690483X,"Right Ho, Jeeves",P.G. Wodehouse,1934
743482883,Mr. Perfect,Linda Howard,2000
60744545,Moonrise,Erin Hunter,2005
385907508,Moon Over Manifest,Clare Vanderpool,2010
385528787,MaddAddam,Margaret Atwood,2013
553804812,The Good Guy,Dean Koontz,1989
312364687,Shoe Addicts Anonymous ,Beth Harbison,2007
671702505,The Gift,Julie Garwood,1991
031605755X,Winter's Bone,Daniel Woodrell,2006
375701230,A Death in the Family,James Agee,1957
582418275,The Firm,John Grisham,1991
041330860X,Antigone,Jean Anouilh,1944
399154302,Spook Country,William Gibson,2007
224064924,Esio Trot,"Roald Dahl, Quentin Blake",1990
345495357,The Lady Elizabeth,Alison Weir,2008
60760885,One Crazy Summer,Rita Williams-Garcia,2010
375990690,Teardrop,Lauren Kate,2013
307347974,Fahrenheit 451,Ray Bradbury,1953
547959206,Independent Study,Joelle Charbonneau,2014
553535641,Tell Me Three Things,Julie Buxbaum,2016
312377037,The Brutal Telling,Louise Penny,2009
61020664,Wyrd Sisters,Terry Pratchett,1988
1416528636,Little Earthquakes,Jennifer Weiner,2004
375822747,The City of Ember,Jeanne DuPrau,2003
375409289,A Gate at the Stairs,Lorrie Moore,2009
810984911,The Ugly Truth,Jeff Kinney,2010
148234873X,Beauty from Pain,Georgia Cates,2013
451216725,Code to Zero,Ken Follett,2000
743428188,The Twentieth Wife,Indu Sundaresan,2002
99366614,The Big Nowhere,James Ellroy,1988
385538030,Beautiful You,Chuck Palahniuk,2014
316134074,Dreams of Gods & Monsters,Laini Taylor,2014
385335970,Dragonfly in Amber,Diana Gabaldon,1992
439286069,Freak the Mighty,Rodman Philbrick,1993
553573357,Blue Mars ,Kim Stanley Robinson,1996
747560595,The Virgin Suicides,Jeffrey Eugenides,1993
345461622,Pandora's Star,Peter F. Hamilton,2004
743234413,Cloudstreet,Tim Winton,1991
425201376,The Lunatic Cafe,Laurell K. Hamilton,1996
767900383,Under the Tuscan Sun,Frances Mayes,1996
739326228,Memoirs of a Geisha,Arthur Golden,1997
1594481954,My Friend Leonard,James Frey,2005
385536073,Calico Joe,John Grisham,2012
765328666,Girl of Nightmares,Kendare Blake,2012
307272591,Bad Monkey,Carl Hiaasen,2013
871404028,High-Rise,J.G. Ballard,1975
62306812,The Miniaturist,Jessie Burton,2014
739380338,The Last Olympian,Rick Riordan,2009
60827882,Trinity: A Novel of Ireland,Leon Uris,1976
385532458,Ford County,John Grisham,2008
156030306,Flowers for Algernon,Daniel Keyes,1966
375703055,Ellen Foster,Kaye Gibbons,1987
60548266,The Hollow Hills,Mary  Stewart,1973
399156240,Fantasy In Death,J.D. Robb,2010
312997124,First Among Equals,Jeffrey Archer,1983
670447161,Madeline's Rescue,Ludwig Bemelmans,1953
373250118,See Jane Date,Melissa Senate,2001
316677469,The Almost Moon,Alice Sebold,2007
1250069793,Truly Madly Guilty,Liane Moriarty,2016
425256758,Dead Heat,Patricia Briggs,2015
393346773,The Obituary Writer,Ann Hood,2013
140565337,Parts,Tedd Arnold,1997
553584480,The Face,Dean Koontz,2003
61583073,At Grave's End,Jeaniene Frost,2008
1401341705,The Collaborator,Margaret Leroy,2011
753820331,The neon rain,James Lee Burke,1987
1408319462,Slated,Teri Terry,2012
60638508,Sein und Zeit,Martin Heidegger,1927
446608890,Saving Faith,David Baldacci,1999
030734813X,Jurassic Park,Michael Crichton,1990
688147321,Chrysanthemum,Kevin Henkes,1991
375868704,The Emerald Atlas,John  Stephens,2011
61931411,Dragon Haven,Robin Hobb,2010
751531189,The Charm School,Nelson DeMille,1988
074324754X,The Glass Castle,Jeannette Walls,2005
552154288,Hogfather,Terry Pratchett,1996
1400030269,Plateforme,Michel Houellebecq,2001
61002828,The Hellbound Heart,Clive Barker,1986
553573861,Zodiac,Neal Stephenson,1988
044101173X,Redemption Ark,Alastair Reynolds,2003
425205754,Montana Sky,Nora Roberts,1996
451464397,Skin Game,Jim Butcher,2014
60554738,The Game,Neil Strauss,2005
671670689,Dawn ,V.C. Andrews,1990
1101875895,Our Souls at Night,Kent Haruf,2015
340896965,One Day,David Nicholls,2009
778325342,Fire Study,Maria V. Snyder,2008
385539703,The Children Act,Ian McEwan,2014
399156135,The First Rule,Robert Crais,2010
743484363,Remember Me ,Mary Higgins Clark,1994
006232005X,The Heist,Daniel Silva,2014
006102001X,The Struggle,L.J. Smith,1991
803734956,The Sky Is Everywhere,Jandy Nelson,2010
038553292X,Lawrence in Arabia,Scott Anderson,2013
316216828,Broken Monsters,Lauren Beukes,2014
446573108,The Sixth Man,David Baldacci,2011
068480154X,Tender Is the Night,F. Scott Fitzgerald,1933
399157212,Port Mortuary,Patricia Cornwell,2010
62267175,Crush,Nicole  Williams,2013
399164421,Thankless in Death ,J.D. Robb,2013
60786507,The Poisonwood Bible,Barbara Kingsolver,1998
